State,Crop,Category,Season,Sowing,Harvesting,Duration
Bihar,Minor Crop Variant 339,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 340,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 341,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 342,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 343,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 344,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 345,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 346,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 347,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 348,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 349,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 350,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 351,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 352,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 353,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 354,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 355,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 356,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 357,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 358,Misc,Misc,June-July,Oct-Nov,90-120 days
Bihar,Minor Crop Variant 359,Misc,Misc,June-July,Oct-Nov,90-120 days
Chhattisgarh,Rice,Cereal,Kharif,June-July,Oct-Nov,120-150 days
Chhattisgarh,Wheat,Cereal,Rabi,Oct-Nov,March-April,130-150 days
Chhattisgarh,Maize,Cereal,Kharif,June-July,Sept-Oct,90-110 days
Chhattisgarh,Jowar,Cereal,Kharif,June-July,Oct-Nov,100-120 days
Chhattisgarh,Bajra,Cereal,Kharif,June-July,Sept-Oct,80-100 days
Chhattisgarh,Ragi,Cereal,Kharif,June-July,Oct-Nov,110-130 days
Chhattisgarh,Barley,Cereal,Rabi,Oct-Nov,March-April,120-140 days
Chhattisgarh,Small Millets,Cereal,Kharif,June-July,Sept-Oct,90-110 days
Chhattisgarh,Kodo Millet,Cereal,Kharif,June-July,Oct-Nov,100-120 days
Chhattisgarh,Barnyard Millet,Cereal,Kharif,June-July,Sept-Oct,90-100 days
Chhattisgarh,Foxtail Millet,Cereal,Kharif,June-July,Aug-Sept,80-90 days
Chhattisgarh,Proso Millet,Cereal,Zaid,March-April,May-June,60-75 days
Chhattisgarh,Little Millet,Cereal,Kharif,June-July,Sept-Oct,85-105 days
Chhattisgarh,Oats,Cereal,Rabi,Oct-Nov,Feb-March,120-150 days
Chhattisgarh,Gram,Pulse,Rabi,Oct-Nov,Feb-March,130-150 days
Chhattisgarh,Tur,Pulse,Kharif,June-July,Dec-Jan,160-200 days
Chhattisgarh,Moong,Pulse,Kharif,June-July,Aug-Sept,60-90 days
Chhattisgarh,Urad,Pulse,Kharif,June-July,Aug-Sept,70-90 days
Chhattisgarh,Masur,Pulse,Rabi,Oct-Nov,Feb-March,120-140 days
Chhattisgarh,Peas,Pulse,Rabi,Oct-Nov,Jan-Feb,90-120 days
Chhattisgarh,Horse Gram,Pulse,Kharif,Aug-Sept,Nov-Dec,120-150 days
Chhattisgarh,Cowpea,Pulse,Kharif,June-July,Sept-Oct,80-100 days
Chhattisgarh,Rajma,Pulse,Rabi,Oct-Nov,Feb-March,110-130 days
Chhattisgarh,Moth Bean,Pulse,Kharif,June-July,Sept-Oct,90-110 days
Chhattisgarh,Lathyrus,Pulse,Rabi,Oct-Nov,Feb-March,120-140 days
Chhattisgarh,Guar,Pulse,Kharif,June-July,Oct-Nov,100-120 days
Chhattisgarh,Groundnut,Oilseed,Kharif,June-July,Oct-Nov,100-120 days
Chhattisgarh,Mustard,Oilseed,Rabi,Oct-Nov,Feb-March,110-130 days
Chhattisgarh,Soybean,Oilseed,Kharif,June-July,Sept-Oct,95-115 days
Chhattisgarh,Sunflower,Oilseed,Zaid,Jan-Feb,May-June,90-110 days
Chhattisgarh,Sesamum,Oilseed,Kharif,June-July,Sept-Oct,80-100 days
Chhattisgarh,Linseed,Oilseed,Rabi,Oct-Nov,Feb-March,120-150 days
Chhattisgarh,Castor,Oilseed,Kharif,June-July,Dec-Jan,150-180 days
Chhattisgarh,Safflower,Oilseed,Rabi,Oct-Nov,March-April,150-180 days
Chhattisgarh,Niger,Oilseed,Kharif,July-Aug,Nov-Dec,110-130 days
Chhattisgarh,Potato,Vegetable,Rabi,Oct-Nov,Jan-Feb,90-120 days
Chhattisgarh,Onion,Vegetable,Rabi,Oct-Nov,March-April,140-160 days
Chhattisgarh,Tomato,Vegetable,Kharif,June-July,Sept-Oct,110-130 days
Chhattisgarh,Brinjal,Vegetable,Kharif,June-July,Oct-Nov,120-150 days
Chhattisgarh,Chilli,Vegetable,Kharif,June-July,Oct-Nov,150-180 days
Chhattisgarh,Cabbage,Vegetable,Rabi,Sept-Oct,Dec-Jan,90-120 days
Chhattisgarh,Cauliflower,Vegetable,Rabi,Sept-Oct,Nov-Dec,90-120 days
Chhattisgarh,Okra,Vegetable,Kharif,June-July,Aug-Sept,90-110 days
Chhattisgarh,Bottle Gourd,Vegetable,Kharif,June-July,Aug-Sept,90-120 days
Chhattisgarh,Bitter Gourd,Vegetable,Kharif,June-July,Aug-Sept,90-110 days
Chhattisgarh,Radish,Vegetable,Rabi,Oct-Nov,Dec-Jan,50-70 days
Chhattisgarh,Carrot,Vegetable,Rabi,Oct-Nov,Jan-Feb,90-110 days
Chhattisgarh,Garlic,Vegetable,Rabi,Oct-Nov,March-April,150-170 days
Chhattisgarh,Ginger,Vegetable,Kharif,April-May,Dec-Jan,240-270 days
Chhattisgarh,Turmeric,Vegetable,Kharif,May-June,Jan-Feb,210-270 days
Chhattisgarh,Mango,Fruit,Perennial,June-July,April-June,120-150 days
Chhattisgarh,Banana,Fruit,Perennial,June-July,Year-round,300-360 days
Chhattisgarh,Citrus,Fruit,Perennial,June-July,Year-round,150-180 days
Chhattisgarh,Orange,Fruit,Perennial,June-July,Nov-Jan,180-210 days
Chhattisgarh,Guava,Fruit,Perennial,June-July,Nov-Jan,120-150 days
Chhattisgarh,Papaya,Fruit,Perennial,June-July,Year-round,270-330 days
Chhattisgarh,Pomegranate,Fruit,Perennial,June-July,Nov-Jan,150-180 days
Chhattisgarh,Apple,Fruit,Perennial,Jan-Feb,Aug-Oct,150-180 days
Chhattisgarh,Grapes,Fruit,Perennial,Jan-Feb,March-May,120-150 days
Chhattisgarh,Pineapple,Fruit,Perennial,June-July,Aug-Oct,450-500 days
Chhattisgarh,Sapota,Fruit,Perennial,June-July,Year-round,150-180 days
Chhattisgarh,Litchi,Fruit,Perennial,Jan-Feb,May-June,120-140 days
Chhattisgarh,Jackfruit,Fruit,Perennial,June-July,April-June,120-150 days
Chhattisgarh,Ber,Fruit,Perennial,June-July,Jan-Feb,150-180 days
Chhattisgarh,Amla,Fruit,Perennial,June-July,Nov-Jan,180-210 days
Chhattisgarh,Custard Apple,Fruit,Perennial,June-July,Oct-Nov,120-150 days
Chhattisgarh,Watermelon,Fruit,Perennial,Jan-Feb,April-May,85-100 days
Chhattisgarh,Muskmelon,Fruit,Perennial,Jan-Feb,April-May,80-95 days
Chhattisgarh,Strawberry,Fruit,Perennial,Oct-Nov,Feb-March,120-150 days
Chhattisgarh,Kiwi,Fruit,Perennial,Jan-Feb,Oct-Nov,200-240 days
Chhattisgarh,Black Pepper,Spices,Kharif/Rabi,June-July,Jan-March,240-300 days
Chhattisgarh,Small Cardamom,Spices,Kharif/Rabi,June-July,Aug-Feb,300-360 days
Chhattisgarh,Large Cardamom,Spices,Kharif/Rabi,June-July,Oct-Dec,300-360 days
Chhattisgarh,Clove,Spices,Kharif/Rabi,June-July,Jan-March,240-300 days
Chhattisgarh,Nutmeg,Spices,Kharif/Rabi,June-July,Year-round,240-300 days
Chhattisgarh,Cinnamon,Spices,Kharif/Rabi,June-July,Year-round,240-300 days
Chhattisgarh,Cumin,Spices,Kharif/Rabi,Oct-Nov,Feb-March,110-120 days
Chhattisgarh,Fennel,Spices,Kharif/Rabi,Oct-Nov,March-April,150-180 days
Chhattisgarh,Coriander,Spices,Kharif/Rabi,Oct-Nov,Feb-March,110-130 days
Chhattisgarh,Ajwain,Spices,Kharif/Rabi,Oct-Nov,March-April,150-170 days
Chhattisgarh,Suva,Spices,Kharif/Rabi,Oct-Nov,Feb-March,120-140 days
Chhattisgarh,Vanilla,Spices,Kharif/Rabi,June-July,Ongoing,365-365 days
Chhattisgarh,Ashwagandha,Medicinal,Misc,Aug-Sept,Jan-Feb,150-180 days
Chhattisgarh,Aloe Vera,Medicinal,Misc,June-July,Year-round,300-365 days
Chhattisgarh,Tulsi,Medicinal,Misc,June-July,Sept-Oct,90-120 days
Chhattisgarh,Mentha,Medicinal,Misc,Jan-Feb,May-June,100-120 days
Chhattisgarh,Isabgol,Medicinal,Misc,Oct-Nov,March-April,110-130 days
Chhattisgarh,Senna,Medicinal,Misc,June-July,Oct-Nov,110-130 days
Chhattisgarh,Safed Musli,Medicinal,Misc,June-July,Dec-Jan,180-210 days
Chhattisgarh,Kalmegh,Medicinal,Misc,June-July,Nov-Dec,120-150 days
Chhattisgarh,Shatavari,Medicinal,Misc,June-July,Year-round,365-500 days
Chhattisgarh,Guduchi,Medicinal,Misc,June-July,Year-round,365-365 days
Chhattisgarh,Brahmi,Medicinal,Misc,June-July,Ongoing,90-120 days
Chhattisgarh,Stevia,Medicinal,Misc,Feb-March,Ongoing,90-120 days
Chhattisgarh,Marigold,Flower,Misc,June-July,Sept-Oct,60-90 days
Chhattisgarh,Rose,Flower,Misc,Oct-Nov,Year-round,120-150 days
Chhattisgarh,Jasmine,Flower,Misc,June-July,March-May,90-120 days
Chhattisgarh,Chrysanthemum,Flower,Misc,June-July,Nov-Dec,120-150 days
Chhattisgarh,Tuberose,Flower,Misc,Feb-March,July-Sept,150-180 days
Chhattisgarh,Gladiolus,Flower,Misc,Oct-Nov,Jan-Feb,90-120 days
Chhattisgarh,Gerbera,Flower,Misc,Year-round,Year-round,90-120 days
Chhattisgarh,Carnation,Flower,Misc,Oct-Nov,Feb-March,150-180 days
Chhattisgarh,Orchid,Flower,Misc,Year-round,Year-round,365-365 days
Chhattisgarh,Crossandra,Flower,Misc,June-July,Oct-Nov,120-150 days
Chhattisgarh,Aster,Flower,Misc,June-July,Sept-Oct,90-120 days
Chhattisgarh,Lily,Flower,Misc,Oct-Nov,Jan-Feb,90-120 days
Chhattisgarh,Jute,Fiber,Kharif,March-May,July-Sept,120-150 days
Chhattisgarh,Cotton,Fiber,Kharif,May-July,Oct-Dec,160-210 days
Chhattisgarh,Sugarcane,Sugar,Annual,Jan-March,Dec-March,300-360 days
Chhattisgarh,Tea,Plantation,Perennial,March-April,Oct-Nov,180-240 days
Chhattisgarh,Coffee,Plantation,Perennial,June-July,Nov-Jan,240-300 days
Chhattisgarh,Rubber,Plantation,Perennial,June-July,Ongoing,365-365 days
Chhattisgarh,Coconut,Plantation,Perennial,June-July,Ongoing,365-365 days
Chhattisgarh,Cashew,Plantation,Perennial,June-July,Feb-May,120-150 days
Chhattisgarh,Arecanut,Plantation,Perennial,June-July,Ongoing,365-365 days
Chhattisgarh,Betelvine,Cash,Perennial,June-July,Year-round,365-365 days
Chhattisgarh,Tobacco,Cash,Rabi,Oct-Nov,Feb-March,120-150 days
Chhattisgarh,Indigo,Dye,Kharif,June-July,Sept-Oct,90-110 days
Chhattisgarh,Henna,Dye,Kharif,June-July,Oct-Nov,120-150 days
Chhattisgarh,Saffron,Spices,Rabi,Aug-Sept,Oct-Nov,60-90 days
Chhattisgarh,Cocoa,Plantation,Perennial,June-July,Ongoing,365-365 days
Chhattisgarh,Rice (Basmati-370),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (IR-64),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (Jaya),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (Swarna),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (Pusa-1121),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (KRH-2),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (PR-121),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (MTU-1010),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (BPT-5204),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (Sambha Mahsuri),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (Govind),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (Saket-4),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (Ratna),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (Sona),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (Mahsuri),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (ADT-36),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (ADT-43),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (CO-43),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (CO-51),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Rice (IR-36),Cereal,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Wheat (HD-2967),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (HD-3086),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (PBW-343),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (Lok-1),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (Raj-3765),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (K-307),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (GW-322),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (Sharbati),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (Durum),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (Sonalika),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (Kalyan Sona),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (WH-1105),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (HI-1544),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (GW-496),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Wheat (DBW-187),Cereal,Rabi,Oct-Nov,March-April,125-155 days
Chhattisgarh,Maize (Ganga-5),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Chhattisgarh,Maize (Deccan-103),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Chhattisgarh,Maize (Pioneer-30V92),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Chhattisgarh,Maize (HQPM-1),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Chhattisgarh,Maize (Bio-9637),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Chhattisgarh,Maize (Shaktiman-1),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Chhattisgarh,Maize (Prabhat),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Chhattisgarh,Maize (Kisan),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Chhattisgarh,Maize (Jawahar),Cereal,Kharif,June-July,Sept-Oct,85-115 days
Chhattisgarh,Mango (Alphonso),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Dasheri),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Langra),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Chausa),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Kesar),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Badami),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Totapuri),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Neelum),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Amrapali),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Mallika),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Himsagar),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Banganapalli),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Suvarnarekha),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Fazli),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Mango (Gulabkhas),Fruit,Perennial,June-July,April-June,115-155 days
Chhattisgarh,Potato (Kufri Jyoti),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Chhattisgarh,Potato (Kufri Bahar),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Chhattisgarh,Potato (Kufri Pukhraj),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Chhattisgarh,Potato (Kufri Chandramukhi),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Chhattisgarh,Potato (Kufri Sindhuri),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Chhattisgarh,Potato (Kufri Badshah),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Chhattisgarh,Potato (Kufri Lauvkar),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Chhattisgarh,Potato (Kufri Chipsona),Vegetable,Rabi,Oct-Nov,Jan-Feb,85-125 days
Chhattisgarh,Tomato (Pusa Ruby),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Chhattisgarh,Tomato (Arka Vikas),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Chhattisgarh,Tomato (Arka Saurabh),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Chhattisgarh,Tomato (Vaishali),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Chhattisgarh,Tomato (Abhinav),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Chhattisgarh,Tomato (Pusa Early Dwarf),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Chhattisgarh,Tomato (S-12),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Chhattisgarh,Tomato (Arka Rakshak),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Chhattisgarh,Tomato (Arka Samrat),Vegetable,Kharif,June-July,Sept-Oct,105-135 days
Chhattisgarh,Banana (Grand Naine),Fruit,Perennial,June-July,Year-round,295-365 days
Chhattisgarh,Banana (Robusta),Fruit,Perennial,June-July,Year-round,295-365 days
Chhattisgarh,Banana (Dwarf Cavendish),Fruit,Perennial,June-July,Year-round,295-365 days
Chhattisgarh,Banana (Poovan),Fruit,Perennial,June-July,Year-round,295-365 days
Chhattisgarh,Banana (Rasthali),Fruit,Perennial,June-July,Year-round,295-365 days
Chhattisgarh,Banana (Nendran),Fruit,Perennial,June-July,Year-round,295-365 days
Chhattisgarh,Banana (Red Banana),Fruit,Perennial,June-July,Year-round,295-365 days
Chhattisgarh,Banana (Elakki),Fruit,Perennial,June-July,Year-round,295-365 days
Chhattisgarh,Cotton (BT-Cotton),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Chhattisgarh,Cotton (H-777),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Chhattisgarh,Cotton (MCU-5),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Chhattisgarh,Cotton (Suvin),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Chhattisgarh,Cotton (Bunny),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Chhattisgarh,Cotton (Ajeet),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Chhattisgarh,Cotton (DCH-32),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Chhattisgarh,Cotton (JKHy-1),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Chhattisgarh,Cotton (Varalaxmi),Fiber,Kharif,May-July,Oct-Dec,155-215 days
Chhattisgarh,Sugarcane (CO-0238),Sugar,Annual,Jan-March,Dec-March,295-365 days
Chhattisgarh,Sugarcane (CO-86032),Sugar,Annual,Jan-March,Dec-March,295-365 days
Chhattisgarh,Sugarcane (CO-419),Sugar,Annual,Jan-March,Dec-March,295-365 days
Chhattisgarh,Sugarcane (CO-740),Sugar,Annual,Jan-March,Dec-March,295-365 days
Chhattisgarh,Sugarcane (CO-8021),Sugar,Annual,Jan-March,Dec-March,295-365 days
Chhattisgarh,Sugarcane (CO-671),Sugar,Annual,Jan-March,Dec-March,295-365 days
Chhattisgarh,Sugarcane (CO-94012),Sugar,Annual,Jan-March,Dec-March,295-365 days
Chhattisgarh,Sugarcane (CO-0118),Sugar,Annual,Jan-March,Dec-March,295-365 days
Chhattisgarh,Mustard (Pusa-Bold),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Chhattisgarh,Mustard (Varuna),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Chhattisgarh,Mustard (RH-30),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Chhattisgarh,Mustard (Kranti),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Chhattisgarh,Mustard (Giriraj),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Chhattisgarh,Mustard (Laxmi),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Chhattisgarh,Mustard (Pusa Jai Kisan),Oilseed,Rabi,Oct-Nov,Feb-March,105-135 days
Chhattisgarh,Brinjal (Pusa Purple Long),Vegetable,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Brinjal (Pusa Purple Round),Vegetable,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Brinjal (Arka Kusumakar),Vegetable,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Brinjal (Arka Neelkanth),Vegetable,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Brinjal (Pusa Anmol),Vegetable,Kharif,June-July,Oct-Nov,115-155 days
Chhattisgarh,Onion (Agrifound Dark Red),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Chhattisgarh,Onion (N-53),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Chhattisgarh,Onion (Pusa Red),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Chhattisgarh,Onion (Arka Kalyan),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Chhattisgarh,Onion (Baswant-780),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Chhattisgarh,Onion (Arka Niketan),Vegetable,Rabi,Oct-Nov,March-April,135-165 days
Chhattisgarh,Chilli (Pusa Jwala),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Chhattisgarh,Chilli (Arka Lohit),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Chhattisgarh,Chilli (G-4),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Chhattisgarh,Chilli (Byadagi),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Chhattisgarh,Chilli (K-2),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Chhattisgarh,Chilli (Bhavnagari),Vegetable,Kharif,June-July,Oct-Nov,145-185 days
Chhattisgarh,Soybean (JS-335),Oilseed,Kharif,June-July,Sept-Oct,90-120 days
Chhattisgarh,Soybean (JS-9560),Oilseed,Kharif,June-July,Sept-Oct,90-120 days
Chhattisgarh,Soybean (NRC-37),Oilseed,Kharif,June-July,Sept-Oct,90-120 days
Chhattisgarh,Soybean (PK-472),Oilseed,Kharif,June-July,Sept-Oct,90-120 days
Chhattisgarh,Soybean (Bragg),Oilseed,Kharif,June-July,Sept-Oct,90-120 days
Chhattisgarh,Ginger (Nadia),Vegetable,Kharif,April-May,Dec-Jan,235-275 days
Chhattisgarh,Ginger (Maran),Vegetable,Kharif,April-May,Dec-Jan,235-275 days
Chhattisgarh,Ginger (Rio-de-Janeiro),Vegetable,Kharif,April-May,Dec-Jan,235-275 days
Chhattisgarh,Ginger (Suprabha),Vegetable,Kharif,April-May,Dec-Jan,235-275 days
Chhattisgarh,Turmeric (Prabha),Vegetable,Kharif,May-June,Jan-Feb,205-275 days
Chhattisgarh,Turmeric (Pratibha),Vegetable,Kharif,May-June,Jan-Feb,205-275 days
Chhattisgarh,Turmeric (Roma),Vegetable,Kharif,May-June,Jan-Feb,205-275 days
Chhattisgarh,Turmeric (Suguna),Vegetable,Kharif,May-June,Jan-Feb,205-275 days
Chhattisgarh,Grapes (Thompson Seedless),Fruit,Perennial,Jan-Feb,March-May,115-155 days
Chhattisgarh,Grapes (Anab-e-Shahi),Fruit,Perennial,Jan-Feb,March-May,115-155 days
Chhattisgarh,Grapes (Bangalore Blue),Fruit,Perennial,Jan-Feb,March-May,115-155 days
Chhattisgarh,Grapes (Dilkhush),Fruit,Perennial,Jan-Feb,March-May,115-155 days
Chhattisgarh,Grapes (Tas-e-Ganesh),Fruit,Perennial,Jan-Feb,March-May,115-155 days
Chhattisgarh,Guava (Allahabad Safeda),Fruit,Perennial,June-July,Nov-Jan,115-155 days
Chhattisgarh,Guava (Lucknow-49),Fruit,Perennial,June-July,Nov-Jan,115-155 days
Chhattisgarh,Guava (Arka Mridula),Fruit,Perennial,June-July,Nov-Jan,115-155 days
Chhattisgarh,Guava (Lalit),Fruit,Perennial,June-July,Nov-Jan,115-155 days
Chhattisgarh,Pomegranate (Bhagwa),Fruit,Perennial,June-July,Nov-Jan,145-185 days
Chhattisgarh,Pomegranate (Mridula),Fruit,Perennial,June-July,Nov-Jan,145-185 days
Chhattisgarh,Pomegranate (Ganesh),Fruit,Perennial,June-July,Nov-Jan,145-185 days
Chhattisgarh,Pomegranate (Ruby),Fruit,Perennial,June-July,Nov-Jan,145-185 days
Chhattisgarh,Papaya (Coorg Honey Dew),Fruit,Perennial,June-July,Year-round,265-335 days
Chhattisgarh,Papaya (Pusa Nanha),Fruit,Perennial,June-July,Year-round,265-335 days
Chhattisgarh,Papaya (Pusa Dwarf),Fruit,Perennial,June-July,Year-round,265-335 days
Chhattisgarh,Papaya (Washington),Fruit,Perennial,June-July,Year-round,265-335 days
Chhattisgarh,Papaya (Solo),Fruit,Perennial,June-July,Year-round,265-335 days
Chhattisgarh,Rose (Gladiator),Flower,Misc,Oct-Nov,Year-round,115-155 days
Chhattisgarh,Rose (First Red),Flower,Misc,Oct-Nov,Year-round,115-155 days
Chhattisgarh,Rose (Baccara),Flower,Misc,Oct-Nov,Year-round,115-155 days
Chhattisgarh,Rose (Super Star),Flower,Misc,Oct-Nov,Year-round,115-155 days
Chhattisgarh,Marigold (African Marigold),Flower,Misc,June-July,Sept-Oct,55-95 days
Chhattisgarh,Marigold (French Marigold),Flower,Misc,June-July,Sept-Oct,55-95 days
